AU,Австралия,true,NO
AT,Австрийская Республика,true,NO
AZ,Азербайджанская Республика,true,NO
AL,Республика Албания,true,NO
DZ,Алжирская Народная Демократическая Республика,true,NO
AO,Республика Ангола,true,NO
AD,Княжество Андорра,true,NO
AG,Антигуа и Барбуда,true,NO
AR,Аргентинская Республика,true,NO
AM,Республика Армения,true,NO
NA,Республика Намибия,true,NO
NR,Республика Науру,true,NO
NP,Федеративная Демократическая Республика Непал,true,NO
NE,Республика Нигер,true,NO
NG,Федеративная Республика Нигерия,true,NO
NL,Королевство Нидерландов,true,NO
NI,Республика Никарагуа,true,NO
NU,Ниуэ,true,NO
NZ,Новая Зеландия,true,NO
NO,Королевство Норвегия,true,NO
MD,Республика Молдова,true,NO
KR,Республика Корея,true,NO
RU,Российская Федерация,true,NO
RW,Республика Руанда,true,NO
RO,Румыния,true,NO
SV,Республика Эль-Сальвадор,true,NO
WS,Независимое Государство Самоа,true,NO
ST,Демократическая Республика Сан-Томе и Принсипи,true,NO
SM,Республика Сан-Марино,true,NO
SA,Королевство Саудовская Аравия,true,NO
MK,Республика Северная Македония,true,NO
SC,Республика Сейшельские Острова,true,NO
SN,Республика Сенегал,true,NO
KN,Сент-Китс и Невис,true,NO
VC,Сент-Винсент и Гренадины,true,NO
LC,Сент-Люсия,true,NO
RS,Республика Сербия,true,NO
SG,Республика Сингапур,true,NO
SY,Сирийская Арабская Республика,true,NO
SK,Словацкая Республика,true,NO
SI,Республика Словения,true,NO
GB,Соединенное Королевство Великобритании и Северной Ирландии,true,NO
US,Соединенные Штаты Америки,true,NO
SB,Соломоновы Острова,true,NO
SO,Федеративная Республика Сомали,true,NO
SL,Республика Сьерра-Леоне,true,NO
SD,Республика Судан,true,NO
SR,Республика Суринам,true,NO
TJ,Республика Таджикистан,true,NO
TH,Королевство Таиланд,true,NO
TL,Демократическая Республика Тимор-Лешти,true,NO
TG,Тоголезская Республика,true,NO
TK,Токелау,true,NO
TO,Королевство Тонга,true,NO
TV,Тувалу,true,NO
TN,Тунисская Республика,true,NO
TM,Туркменистан,true,NO
TR,Турецкая Республика,true,NO
TT,Республика Тринидад и Тобаго,true,NO
UG,Республика Уганда,true,NO
UZ,Республика Узбекистан,true,NO
UA,Украина,true,NO
UY,Восточная Республика Уругвай,true,NO
FO,Фарерские острова,true,NO
FJ,Республика Фиджи,true,NO
PH,Республика Филиппины,true,NO
FI,Финляндская Республика,true,NO
FR,Французская Республика,true,NO
HR,Республика Хорватия,true,NO
CF,Центральноафриканская Республика,true,NO
TD,Республика Чад,true,NO
CZ,Чешская Республика,true,NO
ME,Черногория,true,NO
CL,Республика Чили,true,NO
CH,Швейцарская Конфедерация,true,NO
SE,Королевство Швеция,true,NO
LK,Демократическая Социалистическая Республика Шри-Ланка,true,NO
EC,Республика Эквадор,true,NO
GQ,Республика Экваториальная Гвинея,true,NO
SZ,Королевство Эсватини,true,NO
EE,Эстонская Республика,true,NO
ET,Федеративная Демократическая Республика Эфиопия,true,NO
ER,Государство Эритрея,true,NO
ZA,Южно-Африканская Республика,true,NO
SS,Республика Южный Судан,true,NO
JM,Ямайка,true,NO
JP,Япония,true,NO
MU,Республика Маврикий,true,NO
MR,Исламская Республика Мавритания,true,NO
MG,Республика Мадагаскар,true,NO
MW,Республика Малави,true,NO
MY,Малайзия,true,NO
ML,Республика Мали,true,NO
MV,Мальдивская Республика,true,NO
MT,Республика Мальта,true,NO
MA,Королевство Марокко,true,NO
MH,Республика Маршалловы Острова,true,NO
MX,Мексиканские Соединенные Штаты,true,NO
FM,Федеративные Штаты Микронезии,true,NO
MZ,Республика Мозамбик,true,NO
MC,Княжество Монако,true,NO
MN,Монголия,true,NO
MM,Республика Союз Мьянма,true,NO
CV,Республика Кабо-Верде,true,NO
KZ,Республика Казахстан,true,NO
KH,Королевство Камбоджа,true,NO
CM,Республика Камерун,true,NO
CA,Канада,true,NO
QA,Государство Катар,true,NO
KE,Республика Кения,true,NO
CY,Республика Кипр,true,NO
CN,Китайская Народная Республика,true,NO
KI,Республика Кирибати,true,NO
CO,Республика Колумбия,true,NO
KM,Союз Коморских Островов,true,NO
CG,Республика Конго,true,NO
CR,Республика Коста-Рика,true,NO
CI,Республика Кот-д'Ивуар,true,NO
KP,Корейская Народно-Демократическая Республика,true,NO
CU,Республика Куба,true,NO
KW,Государство Кувейт,true,NO
KG,Кыргызская Республика,true,NO
PK,Исламская Республика Пакистан,true,NO
PW,Республика Палау,true,NO
PA,Республика Панама,true,NO
PG,Независимое государство Папуа – Новая Гвинея,true,NO
PY,Республика Парагвай,true,NO
PE,Республика Перу,true,NO
PL,Республика Польша,true,NO
PT,Португальская Республика,true,NO
TZ,Объединенная Республика Танзания,true,NO
AE,Объединенные Арабские Эмираты,true,NO
OM,Султанат Оман,true,NO
CK,Острова Кука,true,NO
IL,Государство Израиль,true,NO
IN,Республика Индия,true,NO
ID,Республика Индонезия,true,NO
JO,Иорданское Хашимитское Королевство,true,NO
IS,Республика Исландия,true,NO
ES,Королевство Испания,true,NO
IT,Итальянская Республика,true,NO
IQ,Республика Ирак,true,NO
IR,Исламская Республика Иран,true,NO
IE,Ирландия,true,NO
ZM,Республика Замбия,true,NO
ZW,Республика Зимбабве,true,NO
BS,Содружество Багамских Островов,true,NO
BD,Народная Республика Бангладеш,true,NO
BH,Королевство Бахрейн,true,NO
BB,Барбадос,true,NO
BY,Республика Беларусь,true,NO
BZ,Белиз,true,NO
BE,Королевство Бельгия,true,NO
BJ,Республика Бенин,true,NO
BG,Республика Болгария,true,NO
BO,Многонациональное Государство Боливия,true,NO
BA,Босния и Герцеговина,true,NO
BW,Республика Ботсвана,true,NO
BT,Королевство Бутан,true,NO
BF,Буркина-Фасо,true,NO
BI,Республика Бурунди,true,NO
BR,Федеративная Республика Бразилия,true,NO
BN,Бруней-Даруссалам,true,NO
VU,Республика Вануату,true,NO
HU,Венгрия,true,NO
VE,Боливарианская Республика Венесуэла,true,NO
VN,Социалистическая Республика Вьетнам,true,NO
GA,Габонская Республика,true,NO
HT,Республика Гаити,true,NO
GY,Кооперативная Республика Гайана,true,NO
GM,Республика Гамбия,true,NO
GH,Республика Гана,true,NO
GT,Республика Гватемала,true,NO
GN,Гвинейская Республика,true,NO
GW,Республика Гвинея-Бисау,true,NO
DE,Федеративная Республика Германия,true,NO
HN,Республика Гондурас,true,NO
GD,Гренада,true,NO
GR,Греческая Республика,true,NO
GE,Грузия,true,NO
DK,Королевство Дания,true,NO
CD,Демократическая Республика Конго,true,NO
DJ,Республика Джибути,true,NO
DM,Содружество Доминики,true,NO
DO,Доминиканская Республика,true,NO
EG,Арабская Республика Египет,true,NO
LA,Лаосская Народно-Демократическая Республика,true,NO
LV,Латвийская Республика,true,NO
LS,Королевство Лесото,true,NO
LR,Республика Либерия,true,NO
LB,Ливанская Республика,true,NO
LY,Государство Ливия,true,NO
LT,Литовская Республика,true,NO
LU,Великое Герцогство Люксембург,true,NO
YE,Йеменская Республика,true,NO
